n_sim,gamma,mse,mse_se
1,0.10423260712459624,0.006709474045741852,0.0
1,0.10432867234946736,0.0072613328485076735,0.0
1,0.10442482611215485,0.007646641386048607,0.0
1,0.10452106849425896,0.010812081188053418,0.0
1,0.10461739957745511,0.0077246016728773235,0.0
1,0.10471381944349403,0.008638577839046115,0.0
1,0.10481032817420176,0.010756119246277897,0.0
1,0.10490692585147982,0.009024608521923778,0.0
1,0.10500361255730513,0.010669376307775338,0.0
1,0.10510038837373022,0.015379770598095093,0.0
1,0.10519725338288322,0.008871381314663999,0.0
1,0.10529420766696794,0.01064892067059112,0.0
1,0.10539125130826402,0.007318931760349516,0.0
1,0.10548838438912686,0.008148472550869899,0.0
1,0.10558560699198778,0.010518540229074093,0.0
1,0.1056829191993541,0.012372955661988812,0.0
1,0.10578032109380911,0.0052919410727796014,0.0
1,0.10587781275801232,0.00584869900557936,0.0
1,0.10597539427469936,0.006095837519412998,0.0
1,0.1060730657266821,0.011888702010792318,0.0
1,0.10617082719684875,0.008701703162996925,0.0
1,0.1062686787681639,0.008146030494370586,0.0
1,0.10636662052366867,0.009369426060743227,0.0
1,0.10646465254648063,0.006428772976517965,0.0
1,0.10656277491979399,0.014483802935422637,0.0
1,0.10666098772687962,0.010581955265578709,0.0
1,0.10675929105108516,0.009415355793412334,0.0
1,0.10685768497583507,0.010680230949342841,0.0
1,0.10695616958463068,0.01154917486422121,0.0
1,0.10705474496105026,0.008764481645240883,0.0
1,0.10715341118874913,0.012556675092653416,0.0
1,0.10725216835145975,0.012621405807401984,0.0
1,0.10735101653299169,0.008543550012442296,0.0
1,0.10744995581723178,0.010451202153123082,0.0
1,0.10754898628814417,0.010236691737768505,0.0
1,0.10764810802977037,0.01569523342713026,0.0
1,0.10774732112622944,0.01367230041200507,0.0
1,0.10784662566171783,0.013136268927831827,0.0
1,0.1079460217205097,0.011110797706258798,0.0
1,0.10804550938695681,0.006618269825128382,0.0
1,0.10814508874548867,0.00858965486046752,0.0
1,0.10824475988061268,0.0065956950400962566,0.0
1,0.10834452287691404,0.009056484097913983,0.0
1,0.10844437781905594,0.010260001360607464,0.0
1,0.1085443247917796,0.011550566283352597,0.0
1,0.1086443638799043,0.013344978062355881,0.0
1,0.10874449516832758,0.005869371140815471,0.0
1,0.10884471874202516,0.01061996334056401,0.0
1,0.10894503468605109,0.015044648560909538,0.0
1,0.1090454430855378,0.00975512219084111,0.0
1,0.10914594402569619,0.007644709927095539,0.0
1,0.10924653759181573,0.00891721049141888,0.0
1,0.10934722386926445,0.009948190880806887,0.0
1,0.10944800294348905,0.009144512152730525,0.0
1,0.10954887490001501,0.008799412969555711,0.0
1,0.10964983982444668,0.00908380983333487,0.0
1,0.10975089780246719,0.0066382520880628034,0.0
1,0.10985204891983874,0.012682367122974249,0.0
1,0.10995329326240252,0.01238576812193408,0.0
1,0.11005463091607882,0.00831194513146992,0.0
1,0.11015606196686722,0.006601538165816781,0.0
1,0.11025758650084647,0.011987944450662107,0.0
1,0.11035920460417463,0.004212738231942273,0.0
1,0.11046091636308925,0.0051714680063189855,0.0
1,0.11056272186390728,0.015321086988667314,0.0
1,0.11066462119302531,0.00968231681692262,0.0
1,0.1107666144369195,0.008399580347435735,0.0
1,0.11086870168214571,0.00629061213338502,0.0
1,0.11097088301533961,0.010446924732969437,0.0
1,0.11107315852321661,0.009453394144186606,0.0
1,0.11117552829257224,0.015318213448456604,0.0
1,0.11127799241028183,0.006345583321348644,0.0
1,0.11138055096330088,0.011688132584469123,0.0
1,0.111483204038665,0.010409958869994419,0.0
1,0.11158595172348999,0.005709436521733994,0.0
1,0.11168879410497204,0.008674133653898703,0.0
1,0.11179173127038759,0.012419539899975813,0.0
1,0.1118947633070936,0.01035432123182788,0.0
1,0.11199789030252745,0.004907770090333615,0.0
1,0.11210111234420718,0.006948038041531789,0.0
1,0.1122044295197315,0.006023402748055796,0.0
1,0.11230784191677982,0.007733156377099487,0.0
1,0.11241134962311235,0.005670784650876414,0.0
1,0.11251495272657021,0.01883119684494841,0.0
1,0.11261865131507542,0.009151618357975006,0.0
1,0.11272244547663116,0.008419643428206182,0.0
1,0.1128263352993216,0.0052423559162327,0.0
1,0.11293032087131212,0.005377154358476386,0.0
1,0.11303440228084935,0.008603156147357079,0.0
1,0.11313857961626132,0.009584406239208683,0.0
1,0.1132428529659574,0.005955356983352463,0.0
1,0.11334722241842844,0.017946928193200914,0.0
1,0.11345168806224687,0.008052506985719186,0.0
1,0.11355624998606671,0.00773273146155472,0.0
1,0.1136609082786238,0.0031130251100306584,0.0
1,0.11376566302873564,0.010174860256124024,0.0
1,0.11387051432530164,0.009608778535579458,0.0
1,0.11397546225730314,0.006773670607827817,0.0
1,0.11408050691380346,0.007939980207758674,0.0
1,0.11418564838394808,0.011238194333309094,0.0
1,0.11429088675696457,0.017574363942972047,0.0
1,0.11439622212216276,0.00976303812179125,0.0
1,0.11450165456893478,0.009358808834394754,0.0
1,0.11460718418675514,0.007850107620845892,0.0
1,0.11471281106518089,0.01783080886481744,0.0
1,0.11481853529385151,0.009534166620605982,0.0
1,0.11492435696248916,0.005169421554157001,0.0
1,0.11503027616089864,0.020722587208782516,0.0
1,0.11513629297896763,0.02123316136730776,0.0
1,0.11524240750666655,0.009697414055770985,0.0
1,0.11534861983404875,0.014510525959117898,0.0
1,0.11545493005125061,0.007366208415893643,0.0
1,0.11556133824849155,0.008157470829806421,0.0
1,0.1156678445160742,0.008861759648189154,0.0
1,0.11577444894438436,0.0115448501894256,0.0
1,0.11588115162389116,0.008150789353036494,0.0
1,0.1159879526451471,0.008660885778733488,0.0
1,0.11609485209878807,0.008265520660078296,0.0
1,0.11620185007553367,0.0118280849104342,0.0
1,0.11630894666618696,0.014735208098085009,0.0
1,0.11641614196163472,0.005424247194522648,0.0
1,0.11652343605284751,0.023609300238915026,0.0
1,0.1166308290308797,0.00993010114522343,0.0
1,0.11673832098686969,0.007784410021229309,0.0
1,0.11684591201203973,0.008410498364857537,0.0
1,0.11695360219769624,0.010069497774225744,0.0
1,0.11706139163522973,0.012648445600358004,0.0
1,0.11716928041611496,0.010700810924125727,0.0
1,0.11727726863191108,0.006811862697754748,0.0
1,0.1173853563742615,0.011525934089703717,0.0
1,0.11749354373489417,0.00830904708088195,0.0
1,0.11760183080562153,0.010496493185857008,0.0
1,0.11771021767834065,0.013542898810643418,0.0
1,0.11781870444503337,0.011156169475550372,0.0
1,0.1179272911977662,0.010302071540968034,0.0
1,0.11803597802869056,0.013464716066175768,0.0
1,0.11814476503004279,0.007062885279232739,0.0
1,0.11825365229414421,0.015078933307292932,0.0
1,0.11836263991340129,0.01357189380643924,0.0
1,0.11847172798030563,0.02708680867018921,0.0
1,0.11858091658743405,0.009862202015034035,0.0
1,0.11869020582744874,0.010538671296017306,0.0
