n_sim,gamma,mse,mse_se
50,0.1,0.00915489938394377,0.004438845534068205
50,0.10476157527896648,0.009651329834795459,0.0034351567675225854
50,0.10974987654930562,0.00938692529381962,0.0032402366720322394
50,0.11497569953977356,0.009897584096340424,0.003314494872597235
50,0.12045035402587821,0.009691068318363152,0.0032097331769671217
50,0.12618568830660204,0.009514743605103093,0.003786365514681819
50,0.1321941148466029,0.009918625115616106,0.003274408176207762
50,0.1384886371393873,0.009389250218588217,0.003841413081592096
50,0.14508287784959398,0.010674347869550635,0.0033562595605748625
50,0.1519911082952934,0.010815935470425517,0.005120717304644045
50,0.1592282793341092,0.010554338938589763,0.0032319299709054014
50,0.16681005372000587,0.010459318298536868,0.004539862899240583
50,0.17475284000076838,0.01078314851495728,0.003278119654028731
50,0.18307382802953684,0.010210828956537864,0.0028035362029636816
50,0.19179102616724888,0.009801761785212896,0.00295505458376571
50,0.20092330025650468,0.009971412800312164,0.0026360283715267593
50,0.2104904144512021,0.01057888554525035,0.0033415905863171556
50,0.22051307399030456,0.010877785010457957,0.0038862424282089434
50,0.23101297000831597,0.010761661294649023,0.00286807814192128
50,0.24201282647943823,0.011796888488410292,0.0030717595423905755
50,0.2535364493970112,0.01181881481063418,0.0032487101902710694
50,0.26560877829466867,0.011391688840387569,0.003083408098560443
50,0.2782559402207124,0.011307713250050762,0.0029497300534794334
50,0.29150530628251775,0.010965231080143798,0.0031129048403072223
50,0.30538555088334157,0.011610982067406336,0.0025727878310062907
50,0.31992671377973836,0.01286941410298831,0.0034461014585588376
50,0.33516026509388425,0.012988590896065527,0.0035194839501664276
50,0.35111917342151316,0.013302945401097282,0.0038527082160535716
50,0.36783797718286343,0.014248034078418991,0.004053316281304438
50,0.38535285937105296,0.013221514924307782,0.0032702206906395446
50,0.40370172585965547,0.013801627833601181,0.004223055459569007
50,0.4229242874389499,0.015432779505706682,0.00406823181963898
50,0.4430621457583881,0.01613088550136528,0.004772401101537879
50,0.464158883361278,0.015814453360888,0.003917728353566322
50,0.4862601580065355,0.017228568632368303,0.004353837304911469
50,0.5094138014816381,0.01771402410985201,0.0047646481199015295
50,0.533669923120631,0.017700422974492893,0.0035170214630013386
50,0.5590810182512224,0.01928238886203643,0.0050179238976335375
50,0.5857020818056667,0.019001225030103958,0.005257167121581022
50,0.6135907273413174,0.021744157223095043,0.005390096256614945
50,0.6428073117284322,0.022805801951036035,0.005471473530696596
50,0.6734150657750824,0.027027744820417973,0.007178105882928157
50,0.7054802310718644,0.031471493701338955,0.010162574927642144
50,0.739072203352578,0.032840599129776986,0.012197656415320685
50,0.7742636826811272,0.040635181949118825,0.011916296605435769
50,0.8111308307896873,0.0432151586308101,0.01159005783975389
50,0.8497534359086445,0.05713392063992531,0.018595688584515206
50,0.8902150854450388,0.08162573049948495,0.029633539565490353
50,0.9326033468832199,0.13194442953196098,0.05701172112294703
50,0.9770099572992254,0.5272785608064948,0.4451375371419152
50,1.0235310218990263,0.5562773604971871,0.6559760280263224
50,1.0722672220103238,0.1123537319334282,0.040106372178460685
50,1.1233240329780276,0.06792334469979863,0.021525211107844264
50,1.1768119524349985,0.040955427122636355,0.013815508774156755
